iter	RMSE
0	160.1560161
1	158.9179548
2	158.1403798
3	157.8675741
4	156.6292037
5	155.9664646
6	155.2044389
7	154.9338654
8	154.4460892
9	153.8801318
10	153.7625035
11	153.3061955
12	153.2083874
13	152.874323
14	152.8323043
15	152.6054876
16	152.1980384
17	151.2784981
18	149.8120445
19	148.8589613
20	148.7306094
21	148.3437623
22	148.110268
23	146.8710382
24	146.7058801
25	146.6621244
26	146.4695489
27	146.2246325
28	146.0046474
29	145.7536357
30	145.6590941
31	145.4329559
32	145.1929406
33	144.8259544
34	144.6311604
35	144.4802713
36	144.2410854
37	144.1752205
38	144.0442
39	143.6301277
40	142.8028507
41	142.2665451
42	142.0463286
43	141.7603224
44	141.3768101
45	141.3590995
46	141.0796813
47	141.0267156
48	140.8219909
49	140.7559907
50	140.3904225
51	140.3075331
52	140.1623679
53	138.8433321
54	138.7907613
55	138.7458079
56	138.6551438
57	138.5893608
58	138.570718
59	138.4787674
60	138.4681811
61	138.3853533
62	138.1891868
63	138.0220623
64	137.5061268
65	137.3026622
66	137.2680176
67	137.2366545
68	137.0008482
69	136.804663
70	136.6918939
71	136.5949217
72	136.2123451
73	136.1089993
74	136.0731025
75	136.0452114
76	135.7630679
77	135.7570788
78	135.6511
79	135.6217055
80	135.5995554
81	135.3815503
82	135.2760717
83	135.2700929
84	135.2501255
85	135.2326654
86	135.1658251
87	135.1643424
88	135.0593596
89	135.0331604
90	135.0082865
91	134.9415349
92	134.9245705
93	134.9017777
94	134.7613729
95	134.7233342
96	134.7002447
97	134.6978574
98	134.6147523
99	134.5694217
100	134.5296329
101	134.3248525
102	134.2835018
103	134.2546201
104	133.9146617
105	133.8877291
106	133.8681484
107	133.8547766
108	133.8382301
109	133.7992223
110	133.7111213
111	133.5348167
112	133.343845
113	133.1706158
114	132.5908505
115	132.5667388
116	132.5563075
117	132.2379901
118	132.0786026
119	132.0123619
120	131.9620005
121	131.1908897
122	131.1899714
123	131.1033804
124	130.9961587
125	130.7328333
126	130.6467202
127	130.6276922
128	130.5845322
129	130.576412
130	130.4687227
131	129.9186217
132	129.9084974
133	129.9010937
134	129.6667682
135	128.9281572
136	128.7117028
137	128.2774848
138	128.2470811
139	128.237614
140	127.794605
141	127.7266186
142	127.5223242
143	127.4844419
144	126.778024
145	126.5291069
146	126.2735575
147	126.04018
148	126.0349717
149	125.994341
150	125.9239902
151	125.7351127
152	125.4176195
153	125.2953922
154	124.7817713
155	124.7764167
156	124.74872
157	124.5529303
158	124.3947845
159	124.350475
160	124.03769
161	124.009674
162	123.8668637
163	123.8094789
164	123.7156352
165	123.1281959
166	122.8997545
167	122.6859861
168	122.5502367
169	122.3882533
170	122.3217231
171	122.1978367
172	122.1745471
173	121.8807518
174	121.858935
175	121.6912677
176	121.4454376
177	120.9719376
178	120.9020956
179	120.7451178
180	120.4697299
181	120.4270393
182	120.4116488
183	120.333619
184	120.1822876
185	120.1522741
186	120.1039285
187	119.9565804
188	119.9177913
189	119.786751
190	119.5388568
191	119.4230008
192	119.2262566
193	118.4780815
194	118.2952311
195	118.2740944
196	117.5535835
197	117.5254391
198	117.3861422
199	116.6905098
200	116.6711307
201	116.6186992
202	116.590554
203	116.4239103
204	116.3986462
205	116.3766281
206	116.3534323
207	115.6823353
208	115.3778956
209	115.3590058
210	114.711853
211	114.5304679
212	114.3966781
213	114.2493465
214	113.6272096
215	113.6099686
216	113.5752351
217	113.5193634
218	113.3893873
219	113.3736292
220	112.9813342
221	112.8176472
222	112.8061268
223	112.2090572
224	112.122718
225	111.5467946
226	111.0157478
227	110.7861025
228	110.5675532
229	109.6637294
230	109.6478501
231	109.6332821
232	109.50449
233	108.9682995
234	108.8660263
235	108.6559229
236	108.4694462
237	108.3900725
238	107.8728229
239	107.6737084
240	107.6523357
241	107.155358
242	106.987289
243	106.9654363
244	106.854083
245	106.6625941
246	106.1852886
247	106.1669996
248	106.026497
249	105.5647158
250	105.5442418
251	105.4212743
252	104.9764213
253	104.5481836
254	104.4112284
255	103.9973429
256	103.8165414
257	103.6898304
258	103.566622
259	103.4615328
260	103.4233414
261	102.600882
262	102.1547657
263	102.0414407
264	101.6499191
265	101.6308992
266	101.6001824
267	101.503538
268	101.4772314
269	101.2749902
270	100.8965763
271	100.7694388
272	100.6814374
273	100.6693804
274	100.2518101
275	100.0587581
276	100.0312588
277	99.99779178
278	99.63082158
279	99.49547793
280	99.46236465
281	99.43044139
282	99.32608875
283	99.17498244
284	99.12072367
285	99.00160064
286	98.87109478
287	98.51798412
288	98.33902699
289	97.94262733
290	97.60303059
291	97.55246424
292	97.51513501
293	97.45835628
294	97.38892822
295	97.23261566
296	97.06061191
297	96.89918429
298	96.73437583
299	96.71557398
